neighborhood,price,bedrooms,parking,area,bathrooms
Jardim Camburi,980504.3333333334,4,2,180,3
Vitória,1451400.0,4,2,155,3
Jardim Camburi,350000.0,3,1,78,2
Vitória,450387.5,3,2,110,1
Praia do Canto,370533.3333333333,1,1,46,1
Jardim Camburi,850750.0,4,2,140,3
Vitória,340278.3333333333,3,1,80,1
Vitória,360330.0,2,1,58,1
Praia do Canto,340383.0833333333,2,1,70,1
Mata da Praia,1401300.0,4,2,130,4
Vitória,560403.5,2,1,65,2
Bento Ferreira,580370.0,3,2,97,3
Praia do Canto,790649.0,3,2,110,3
Vitória,1199000.0,4,3,146,4
Bento Ferreira,420400.0833333333,2,1,60,2
Santo Antônio,360001.9166666667,5,2,180,4
Jardim da Penha,1120611.6666666667,3,2,112,3
Vitória,1621600.0,4,2,240,5
Vitória,200275.0,2,,60,1
Jardim Camburi,1193481.6666666667,3,3,150,1
Jardim da Penha,750001.6666666666,3,2,115,3
Vitória,385400.0,2,1,56,2
Vitória,468474.1666666667,2,1,73,2
Jardim da Penha,630000.0,3,,119,3
Jardim Camburi,787527.0,3,2,100,3
Mata da Praia,1450720.0,4,3,300,3
Jardim da Penha,740380.0,3,2,86,3
Vitória,2501400.0,4,4,340,1
Vitória,3200000.0,4,5,245,5
Vitória,360300.0,2,1,65,2
Rio de Janeiro,132900.0,2,,47,
Parque Jóquei Club,143400.0,2,,47,
Parque dos Rodoviários,137952.0,2,2,53,1
Vitória,2301600.0,4,3,210,5
Vitória,920000.0,3,,107,3
Jardim Camburi,300367.0833333333,2,1,67,2
Enseada do Suá,650500.0,3,2,84,2
Vitória,499360.0,3,1,85,3
Vitória,2101100.0,4,4,264,2
Jardim Camburi,268291.0,2,1,55,1
Vitória,1301600.0,4,2,220,5
Jardim Camburi,2443066.6666666665,4,3,219,3
Jardim da Penha,750631.6666666666,3,1,120,3
Vitória,750400.0,4,2,246,3
Jardim Camburi,820700.0,4,2,140,2
Vitória,1501250.0,4,3,155,3
Jardim Camburi,250370.83333333334,3,1,85,2
Jardim Camburi,350350.0,2,1,65,2
Vitória,480046.25,3,3,395,3
Jardim Camburi,800000.0,3,,100,2
Vitória,2500000.0,4,3,315,1
Vitória,410300.0,2,1,70,3
Vitória,700658.0,3,2,90,1
Vitória,1891212.5,5,3,330,4
Vitória,670000.0,3,,115,3
Santa Helena,820550.0,3,2,120,
Vitória,850000.0,3,,160,3
Vitória,1201104.1666666667,3,2,115,3
Jardim Camburi,1901183.3333333333,4,4,264,3
Ilha de Santa Maria,365004.1666666667,1,30,33,1
Praia do Suá,545537.5,3,1,120,3
Jardim da Penha,260170.0,2,1,55,1
Jardim da Penha,980000.0,4,,140,4
Vitória,1380680.0,3,1,180,3
Vitória,896209.0,4,2,158,3
Jardim Camburi,585435.0,3,2,100,3
Parque dos Rodoviários,146900.0,2,,53,1
Parque dos Rodoviários,142900.0,2,1,53,
Parque dos Rodoviários,151717.0,2,2,53,1
Vitória,430504.5833333333,2,1,80,2
Jardim Camburi,250305.0,2,1,50,1
Jardim Camburi,225146.91666666666,3,1,95,1
Vitória,262700.0,2,,50,1
Vitória,490354.0833333333,3,2,80,2
Jardim Camburi,335365.0,2,1,58,2
Ilha do Frade,9000000.0,5,6,1250,8
Vitória,495640.0,2,2,64,2
Jardim Camburi,620433.3333333334,3,1,90,2
Praia do Canto,900650.0,3,2,105,3
Jardim da Penha,490001.6666666667,2,1,65,2
Santa Luíza,550483.3333333334,2,1,65,2
Jardim Camburi,275375.0,3,1,80,2
Vitória,175477.0,1,1,42,1
Vitória,730000.0,3,2,115,2
Vitória,1495900.0,3,3,180,4
Vitória,750800.0,3,1,120,3
Santa Lucia,800901.6666666666,3,2,127,2
Ilha do Boi,610676.0,3,2,160,2
Vitória,305374.0,2,1,65,1
Santa Helena,1701300.0833333333,4,4,265,6
Santa Lucia,220002.0,2,,45,1
Monte Belo,600400.0,3,2,95,2
Santa Lúcia,861766.6666666666,4,2,211,4
Jardim da Penha,833736.6666666666,3,2,80,2
Barro Vermelho,2301000.0,4,3,220,3
Jardim Camburi,165200.0,1,,40,1
Vitória,181240.0,1,1,38,1
Mata da Praia,1200004.5833333333,4,5,200,4
Jardim Camburi,350300.0,2,1,65,2
Jardim da Penha,435380.0,3,1,93,3
Vitória,1791212.9166666667,3,3,160,4
Mata da Praia,280261.6666666667,2,1,52,1
Castanheiras,128000.0,2,1,38,
Goiabeiras,645361.0,3,2,94,1
Bento Ferreira,1241336.0,4,3,256,6
Vitória,1389480.0,3,4,240,4
Vitória,238360.08333333334,2,1,84,2
Jardim Camburi,580457.5,3,2,115,3
Praia do Canto,740821.3333333334,3,2,108,3
Vitória,416306.0833333333,3,1,116,3
Jardim da Penha,890750.0,3,2,155,3
Jardim Camburi,299299.0,2,1,50,2
Jardim da Penha,1500001.6666666667,3,2,300,3
Mata da Praia,1199958.3333333333,4,3,146,4
Jardim da Penha,450354.0,3,1,80,3
Jardim da Penha,240100.0,2,1,45,1
Praia do Suá,180001.66666666666,1,1,23,1
Vitória,305290.0,2,1,48,1
Jardim Camburi,1470750.0833333333,3,2,137,4
Centro,250433.0,3,1,140,2
Santa Lúcia,450405.0,2,2,74,2
Vitória,373000.0,2,1,51,1
Vitória,380522.0,2,1,84,2
Praia do Canto,270357.0,2,1,47,1
Centro,390480.0,3,1,155,2
Vitória,701065.5833333334,3,2,170,3
Vitória,2322200.0,4,3,360,5
Jardim Camburi,363900.0,3,1,67,2
Vitória,505500.0,3,2,77,2
Bento Ferreira,5900000.0,10,,710,4
Mata da Praia,420383.3333333333,3,1,75,2
Praia do Canto,2101600.0,4,4,235,6
Jardim Camburi,990501.6666666666,3,2,130,3
Jardim da Penha,595700.25,3,2,110,2
Vitória,368336.0,2,2,87,3
Enseada do Suá,680538.3333333334,3,2,96,3
Vitória,6300000.0,4,2,595,6
Jardim Camburi,770508.3333333334,3,2,120,3
Vitória,871550.0,4,2,160,3
Vitória,520429.1666666667,3,1,95,3
Vitória,375000.0,3,1,75,2
Santa Helena,2501351.25,4,4,210,5
